seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
YH-BYN7SC010B26	B01N2432A7	B01N2432A7	NewItem	SELLABLE	0
YH-BYN7SC013AO6	B01N4P5WAA	B01N4P5WAA	NewItem	SELLABLE	0
YH-BYN7SC009WO3	B01MR42O3S	B01MR42O3S	NewItem	SELLABLE	49
YH-BYN6AC039G53	B01LYFTPFY	B01LYFTPFY	NewItem	SELLABLE	26
YH-BYN6AC034B05	B01LQ4IXLG	B01LQ4IXLG	NewItem	SELLABLE	14
YH-BYN6AC029W04	B01LXAPKJE	B01LXAPKJE	NewItem	SELLABLE	19
YH-BYN7SC013NO6	B01NCWZHX6	B01NCWZHX6	NewItem	SELLABLE	0
YH-BYN6AS017N04	B01MF506L4	B01MF506L4	NewItem	SELLABLE	0
YH--BYN6AS012NA5	B01LWUUHUW	B01LWUUHUW	NewItem	SELLABLE	30
YH--BYN6AS012NA5	B01LWUUHUW	B01LWUUHUW	NewItem	UNSELLABLE	2
YH-BYN6AC031N04	B01M09B8Z7	B01M09B8Z7	NewItem	SELLABLE	18
YH-BYN6AC034P05	B01LQ4K5B2	B01LQ4K5B2	NewItem	SELLABLE	29
YH-BYN6AC034P05	B01LQ4K5B2	B01LQ4K5B2	NewItem	UNSELLABLE	1
YH-BY483430AG4U	B01LY7LVUC	B01LY7LVUC	NewItem	SELLABLE	0
YH--BYN6AA010A33	B01LYT5DE6	B01LYT5DE6	NewItem	SELLABLE	1
YH--BYN6AA010A35	B01LWUU4NG	B01LWUU4NG	NewItem	SELLABLE	6
YH-BYN6AW016A34	B01MEGFC4U	B01MEGFC4U	NewItem	SELLABLE	7
YH-BYN6AA017BO34	B01M6C2DTM	B01M6C2DTM	NewItem	SELLABLE	46
YH-BYN6AS018A23	B01MG9IG65	B01MG9IG65	NewItem	SELLABLE	33
YH-BYN6AC035B14	B01LQ4J7OI	B01LQ4J7OI	NewItem	SELLABLE	53
YH-BYN6AW017BA5	B01LXXH5LR	B01LXXH5LR	NewItem	SELLABLE	0
YH--BYN6AS013AB2	B01LYHHBY5	B01LYHHBY5	NewItem	SELLABLE	11
YH-BYN6AS019W02	B01MTKBFZ9	B01MTKBFZ9	NewItem	SELLABLE	33
YH--BYN6AS016AN3	B01LXI85BG	B01LXI85BG	NewItem	SELLABLE	0
YH-BYN7SC011BA5	B01MTANPF7	B01MTANPF7	NewItem	SELLABLE	0
YH-BYN6AW015AW4	B01LWSTZ3I	B01LWSTZ3I	NewItem	SELLABLE	44
PT-T1JA-8EZ6	B01JY2L2BA	B01JY2L2BA	NewItem	SELLABLE	19
YH-BYN6AS019A23	B01N0AIHAK	B01N0AIHAK	NewItem	SELLABLE	33
YH-BYN6AA017AO2	B01MRE2KFO	B01MRE2KFO	NewItem	SELLABLE	28
YH-BYN6AW017BA4	B01LXLPLTZ	B01LXLPLTZ	NewItem	SELLABLE	16
YH--BYN6AC014W03	B01M061C8T	B01M061C8T	NewItem	SELLABLE	4
YH-BYN6AA003G34	B01LWUNHIH	B01LWUNHIH	NewItem	SELLABLE	15
YH-BYN6AW021NO2	B01MTKOPEE	B01MTKOPEE	NewItem	SELLABLE	20
YH-BY48344LUHF7	B01LX4UUF4	B01LX4UUF4	NewItem	SELLABLE	4
YH-BYN7SC013NO5	B01N5QH3VJ	B01N5QH3VJ	NewItem	SELLABLE	0
YH-BY4834IGNH5X	B01MG8TTM0	B01MG8TTM0	NewItem	SELLABLE	14
YH-BY483452A0F4	B01MF90RNV	B01MF90RNV	NewItem	SELLABLE	19
YH-BYN7SC002AB1	B01N1XF0Z8	B01N1XF0Z8	NewItem	SELLABLE	24
YH-BY48342KO4VJ	B01LATU5DQ	B01LATU5DQ	NewItem	SELLABLE	20
YH-BYN6AH021NA5	B01M36F4DZ	B01M36F4DZ	NewItem	SELLABLE	25
YH-BYN7SC009WO4	B01N31YJI9	B01N31YJI9	NewItem	SELLABLE	22
YH-BY4834KN95XO	B01LYJETOC	B01LYJETOC	NewItem	SELLABLE	0
YH-BYN6AC035B32	B01LQ4JHPC	B01LQ4JHPC	NewItem	SELLABLE	41
YH-BYN6AC035B32	B01LQ4JHPC	B01LQ4JHPC	NewItem	UNSELLABLE	1
YH-BYN6AC034B03	B01LQ4IULO	B01LQ4IULO	NewItem	SELLABLE	2
YH-BYN6AW018N04	B01LXNJYJX	B01LXNJYJX	NewItem	SELLABLE	2
YH--BYN6AS013BN3	B01LZSEBYA	B01LZSEBYA	NewItem	SELLABLE	15
YH-BYE6QK005A14	B01LYYUFWN	B01LYYUFWN	NewItem	SELLABLE	94
YH-BYN7SC002AN4	B01N5KDRLZ	B01N5KDRLZ	NewItem	SELLABLE	6
YH-BYN6AC025BP5	B01LYKYV8V	B01LYKYV8V	NewItem	SELLABLE	9
YH-BYN7SC009WO5	B01N4M3BXO	B01N4M3BXO	NewItem	SELLABLE	25
YH-BYN6AC027N04	B01LYX1MKG	B01LYX1MKG	NewItem	SELLABLE	16
YH-BYN6AH021A33	B01MFGZK35	B01MFGZK35	NewItem	SELLABLE	29
YH-BYN6AC034RO4	B01M6C1OPA	B01M6C1OPA	NewItem	SELLABLE	35
YH-BYN6AW018B33	B01LYMRBNT	B01LYMRBNT	NewItem	SELLABLE	13
YH-BYN7SC003AG2	B01N1XTRUA	B01N1XTRUA	NewItem	SELLABLE	42
YH-BYN6AC035B33	B01LQ4JJSM	B01LQ4JJSM	NewItem	SELLABLE	65
YH-BYN6AC035B33	B01LQ4JJSM	B01LQ4JJSM	NewItem	UNSELLABLE	1
YH-BYN6AW016A32	B01MF96FB8	B01MF96FB8	NewItem	SELLABLE	0
YH-BYE6QK005A13	B01M09QWLV	B01M09QWLV	NewItem	SELLABLE	82
YH-BYN6AC031W03	B01LYYE3AR	B01LYYE3AR	NewItem	SELLABLE	21
YH-BYN7SC011BA3	B01MY9R7ON	B01MY9R7ON	NewItem	SELLABLE	0
YH--BYN6AA010A13	B01LZSE8CS	B01LZSE8CS	NewItem	SELLABLE	1
YH-BY4834365IL3	B01M1GKMJB	B01M1GKMJB	NewItem	SELLABLE	2
1F-4ASF-CR5Q	B01K1ULJ5I	B01K1ULJ5I	NewItem	SELLABLE	25
YH-BYN6AW017BW5	B01LXXH80Y	B01LXXH80Y	NewItem	SELLABLE	6
YH-BYN6AC038NW4	B01M0DPVUU	B01M0DPVUU	NewItem	SELLABLE	20
YH-BYN6AA017AO3	B01M4R905G	B01M4R905G	NewItem	SELLABLE	47
YH-BYN6AA003G38	B01LZ4NXZV	B01LZ4NXZV	NewItem	SELLABLE	12
YH-BYN6AC030N03	B01M1JZS3G	B01M1JZS3G	NewItem	SELLABLE	17
YH-BYN7SC013NO7	B01NCWS2EP	B01NCWS2EP	NewItem	SELLABLE	0
YH-BY4834M9YKVJ	B01MXL3QUZ	B01MXL3QUZ	NewItem	SELLABLE	0
HY-BYN6AH009R06	B01M062T8Y	B01M062T8Y	NewItem	SELLABLE	8
YH-BYN6AA018BO2	B01M5LLP49	B01M5LLP49	NewItem	SELLABLE	16
YH-BYN6AA018BO2	B01M5LLP49	B01M5LLP49	NewItem	UNSELLABLE	1
YH-BYN7SC002AB3	B01N1XAQU4	B01N1XAQU4	NewItem	SELLABLE	18
YH-BYN6AC028B33	B01LZKLHRS	B01LZKLHRS	NewItem	SELLABLE	19
YH-BYN6AC029N02	B01LYX7RUI	B01LYX7RUI	NewItem	SELLABLE	13
